movie_id,genre_id
1,18
1,12
1,3
1,14
1,4
2,18
2,3
2,4
3,14
3,9
4,14
4,15
4,9
5,14
6,1
6,5
6,10
7,14
7,9
8,18
8,3
9,1
10,1
10,18
10,10
11,14
11,15
11,9
12,14
12,20
13,18
13,12
13,3
14,15
15,1
15,18
15,9
16,5
16,15
17,15
17,9
18,14
19,14
20,1
20,14
20,5
20,15
20,10
21,14
21,5
21,10
22,5
22,15
22,20
22,13
22,10
23,1
23,5
23,10
24,15
24,7
25,15
25,9
26,15
27,3
27,15
28,15
28,9
29,18
29,15
29,4
29,13
29,7
30,5
30,15
31,15
32,13
32,7
32,10
34,3
34,15
36,5
36,15
38,3
38,14
39,14
39,9
40,15
41,15
41,19
42,1
42,5
42,15
43,15
44,1
44,18
44,4
45,14
45,15
45,10
46,15
46,9
47,13
47,10
48,12
48,3
48,15
48,8
48,9
49,15
49,9
50,5
50,13
50,10
52,14
52,15
52,9
53,18
53,15
54,3
54,14
55,15
57,15
58,14
58,15
58,9
60,18
60,3
60,4
61,15
61,10
62,15
63,14
63,5
64,14
64,9
65,14
66,1
66,7
66,10
68,14
68,9
69,14
70,1
70,14
70,20
70,10
71,1
72,14
72,15
73,15
73,19
74,15
74,9
75,14
75,15
76,1
76,7
76,10
77,6
78,1
78,5
78,15
78,10
79,15
79,10
80,3
80,15
81,5
81,15
81,9
82,14
82,15
83,15
83,9
85,15
85,9
86,1
86,18
86,15
87,3
87,14
88,14
89,1
89,10
92,15
92,20
92,10
93,14
93,20
93,9
94,14
94,15
94,9
95,1
95,18
95,10
96,14
96,15
97,5
97,15
99,6
100,15
100,10
101,18
101,14
101,5
101,9
102,14
103,13
103,7
103,10
104,14
105,15
105,9
106,14
106,15
107,18
107,3
107,14
107,8
108,6
110,1
110,15
110,19
111,5
111,15
111,10
112,1
112,18
112,14
112,5
113,15
113,13
116,6
117,5
117,15
118,14
118,9
119,14
121,15
122,14
122,9
123,15
123,13
123,9
125,14
126,18
126,3
126,4
128,6
129,14
129,9
132,10
135,14
137,6
140,15
140,9
141,14
144,14
145,1
145,14
145,5
145,15
145,10
146,18
146,3
147,15
148,15
149,5
149,15
149,10
150,18
150,15
150,11
151,1
151,15
151,9
151,19
152,15
152,20
153,1
153,18
153,14
153,5
154,15
155,18
155,15
155,19
156,14
156,15
157,14
157,19
158,18
158,3
159,5
159,15
159,13
160,1
160,18
160,13
160,7
161,15
161,10
161,19
162,6
163,1
163,9
163,2
164,5
164,17
164,13
164,10
165,1
165,5
165,10
166,14
166,5
166,15
168,1
168,15
168,9
169,18
169,3
169,15
170,1
170,18
170,5
170,10
171,14
171,15
172,1
172,7
172,10
173,1
173,5
173,7
174,14
175,15
176,14
177,20
178,14
178,15
179,15
179,9
180,14
180,9
181,1
181,3
183,14
183,20
183,10
184,15
185,1
185,5
185,10
186,14
186,9
187,14
188,4
188,20
188,13
189,14
189,4
190,10
191,15
191,9
193,15
194,14
194,15
195,14
195,15
195,9
196,20
196,7
198,1
198,5
198,15
198,13
198,7
198,10
199,15
199,8
199,9
201,15
201,4
202,15
202,9
203,14
204,1
205,14
205,15
206,6
207,15
207,9
208,1
208,18
208,7
209,15
210,2
211,15
212,18
212,14
212,5
212,13
213,15
214,15
214,19
215,15
215,9
216,14
217,15
217,10
218,14
218,15
219,15
220,20
222,15
222,9
223,14
224,14
224,15
224,9
225,15
225,10
227,1
227,10
228,14
229,15
229,10
230,15
230,10
231,18
231,14
232,14
232,15
232,9
233,15
234,14
235,14
235,15
236,1
236,14
236,9
237,14
237,9
238,18
238,3
239,12
239,3
239,14
239,9
240,10
241,3
241,15
242,15
242,8
243,3
243,14
243,4
246,6
247,5
247,15
248,14
249,15
249,9
250,3
250,14
251,1
252,14
252,9
253,15
253,20
254,15
255,14
256,14
256,7
257,13
257,10
258,18
258,3
258,14
258,4
258,9
259,5
259,15
259,10
260,1
260,18
260,7
261,15
262,3
262,15
263,15
265,15
265,4
265,9
266,15
266,9
266,19
266,2
267,14
269,15
270,15
270,9
271,15
272,14
272,15
273,15
273,20
273,7
274,14
275,14
276,14
276,9
277,15
278,14
279,15
280,15
280,10
281,14
281,15
281,9
282,15
283,5
283,15
284,1
284,5
285,15
285,20
287,14
287,9
288,1
288,5
288,10
289,14
289,9
290,5
290,15
291,15
291,10
292,1
292,15
292,7
292,10
293,1
293,5
293,15
293,10
294,14
294,9
295,14
295,9
296,14
296,5
296,15
296,10
298,15
299,15
300,15
301,15
301,9
302,15
302,9
303,1
303,10
303,2
304,14
304,15
305,14
306,15
307,15
308,14
308,15
310,14
311,20
311,10
312,14
313,12
313,3
314,3
314,15
314,4
314,13
315,1
315,15
315,10
316,1
316,18
316,7
317,14
317,15
317,4
318,5
318,15
319,14
319,15
319,10
320,17
320,10
321,15
322,14
322,15
324,14
324,15
325,14
326,15
327,1
327,14
327,7
328,20
328,10
329,18
329,15
329,7
330,1
330,5
330,20
331,15
332,20
332,7
333,14
334,15
335,13
335,10
336,15
336,19
337,15
338,1
338,7
338,10
339,14
339,9
340,18
340,15
340,19
341,15
342,14
343,3
344,14
345,14
345,15
346,15
346,8
347,15
347,17
347,9
348,14
349,1
349,5
349,15
349,10
350,15
350,13
350,10
351,14
351,15
351,9
352,14
352,15
353,1
353,5
353,4
353,10
354,15
355,3
355,14
355,4
356,14
356,15
356,9
356,19
357,14
