movie_id,average_rating,num_ratings,variance
1,3.9209302325581397,215,0.69374797187669
2,3.4318181818181817,110,0.7703512396694215
3,3.2596153846153846,52,1.091253698224852
4,2.357142857142857,7,0.6224489795918366
5,3.0714285714285716,49,0.8061224489795914
6,3.946078431372549,102,0.6613081507112655
7,3.185185185185185,54,0.9379286694101507
8,2.875,8,1.109375
9,3.125,16,0.890625
10,3.496212121212121,132,0.7329401974288351
11,3.6714285714285713,70,0.7991836734693882
12,2.4210526315789473,19,1.4806094182825484
13,3.125,8,0.359375
14,3.8333333333333335,18,0.4722222222222222
15,3.0,13,1.3461538461538463
16,3.926829268292683,82,0.7751338488994649
17,3.7761194029850746,67,1.2931610603697912
18,3.7,20,0.7849999999999999
19,2.727272727272727,88,1.1188016528925617
20,2.5,15,0.9
21,3.49438202247191,89,0.7443504608004038
22,3.2222222222222223,36,0.6589506172839505
23,3.125,16,1.171875
24,3.125,28,0.9933035714285714
25,3.625,76,1.2310855263157894
26,3.5,13,0.34615384615384615
27,3.3333333333333335,9,1.2777777777777777
28,4.2272727272727275,11,0.56198347107438
29,4.0131578947368425,38,0.6643005540166206
30,3.0,3,2.0
31,3.1842105263157894,38,0.9529085872576177
32,3.983050847457627,177,0.6211816527817675
34,3.65234375,128,1.0764007568359375
36,3.8358208955223883,67,0.8760302962797948
38,2.125,4,0.546875
39,3.293269230769231,104,1.0654354659763312
40,4.25,2,0.5625
41,3.7,15,0.42666666666666664
42,3.0,7,0.5714285714285714
43,3.1875,8,0.37109375
44,2.5434782608695654,46,1.150283553875236
45,3.3125,32,0.66796875
46,3.066666666666667,15,1.2955555555555558
47,3.9753694581280787,203,0.846683976801183
48,3.1470588235294117,68,1.0960207612456747
49,3.0,1,0.0
50,4.237745098039215,204,0.6383302095347938
52,3.4642857142857144,28,0.7308673469387758
53,5.0,2,0.0
54,2.3333333333333335,3,1.5555555555555554
55,4.0,1,0.0
57,3.0625,8,0.65234375
58,4.027027027027027,37,0.8235938641344047
60,3.235294117647059,34,1.0181660899653981
61,3.75,6,0.6458333333333334
62,3.70625,80,1.0855859375000003
63,2.7142857142857144,7,1.1326530612244898
64,2.2,5,0.5599999999999999
65,2.532258064516129,31,1.0796045785639956
66,2.5,9,1.1111111111111112
68,3.4,5,1.04
69,3.775,20,0.7618750000000001
70,3.5090909090909093,55,1.0135537190082646
71,1.7,5,0.16
72,3.2142857142857144,7,1.4183673469387756
73,3.4615384615384617,13,0.440828402366864
74,4.0,8,0.5
75,2.2,5,0.96
76,3.4,15,1.34
77,4.0,1,0.0
78,3.3333333333333335,3,0.22222222222222224
79,2.764705882352941,17,1.3564013840830444
80,4.0,2,0.0
81,3.107142857142857,14,0.5420918367346939
82,3.875,8,1.921875
83,3.0,1,0.0
85,3.857142857142857,7,2.1224489795918364
86,3.966666666666667,15,0.548888888888889
87,2.5,7,0.7857142857142857
88,3.15625,16,1.3037109375
89,3.25,10,0.5125
92,2.625,8,0.921875
93,2.8333333333333335,9,0.9444444444444444
94,3.95,10,0.22249999999999998
95,3.0238095238095237,84,1.0172902494331066
96,3.5,1,0.0
97,3.9,10,0.48999999999999994
99,5.0,2,0.0
100,2.7857142857142856,14,0.4540816326530613
101,3.782608695652174,23,1.0396975425330812
102,2.4,5,3.04
103,3.0,3,0.0
104,3.4393939393939394,99,0.9761248852157937
