year_film,year_ceremony,ceremony,award_id,nominee,movieId,winner
1995,1996,68,1,Randy Newman,1,False
1995,1996,68,2,Music and Lyric by Randy Newman,1,False
1995,1996,68,3,"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton",1,False
1995,1996,68,1,John Williams,915,False
1995,1996,68,2,Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,915,False
1995,1996,68,4,Anthony Hopkins,14,False
1995,1996,68,5,Joan Allen,14,False
1995,1996,68,6,John Williams,14,False
1995,1996,68,3,"Stephen J. Rivele, Christopher Wilkinson",14,False
1995,1996,68,7,Sharon Stone,16,False
1995,1996,68,7,Emma Thompson,17,False
1995,1996,68,5,Kate Winslet,17,False
1995,1996,68,8,Michael Coulter,17,False
1995,1996,68,9,Jenny Beavan,17,False
1995,1996,68,6,Patrick Doyle,17,False
1995,1996,68,10,Lindsay Doran,17,False
1995,1996,68,11,Emma Thompson,17,True
1995,1996,68,4,Nicolas Cage,25,True
1995,1996,68,7,Elisabeth Shue,25,False
1995,1996,68,12,Mike Figgis,25,False
1995,1996,68,11,Mike Figgis,25,False
1995,1996,68,13,James Cromwell,34,False
1995,1996,68,14,Art Direction:  Roger Ford;  Set Decoration:  Kerrie Brown,34,False
1995,1996,68,12,Chris Noonan,34,False
1995,1996,68,15,Marcus D'Arcy,34,False
1995,1996,68,10,"George Miller, Doug Mitchell and Bill Miller",34,False
1995,1996,68,16,"Scott E. Anderson, Charles Gibson, Neal Scanlan",34,True
1995,1996,68,11,George Miller,34,False
1995,1996,68,4,Sean Penn,36,False
1995,1996,68,7,Susan Sarandon,36,True
1995,1996,68,12,Tim Robbins,36,False
1995,1996,68,2,Music and Lyric by Bruce Springsteen,36,False
1995,1996,68,14,Tony Burrough,41,False
1995,1996,68,9,Shuna Harwood,41,False
1995,1996,68,14,Eugenio Zanetti,43,True
1995,1996,68,9,James Acheson,43,True
1995,1996,68,1,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,48,True
1995,1996,68,2,Music by Alan Menken; Lyric by Stephen Schwartz,48,True
1995,1996,68,5,Mira Sorvino,52,True
1995,1996,68,3,Woody Allen,52,False
1995,1996,68,5,Mare Winningham,55,False
1995,1996,68,4,Richard Dreyfuss,62,False
1995,1996,68,8,John Toll,110,True
1995,1996,68,9,Charles Knode,110,False
1995,1996,68,12,Mel Gibson,110,True
1995,1996,68,15,Steven Rosenblum,110,False
1995,1996,68,17,"Peter Frampton, Paul Pattison",110,True
1995,1996,68,6,James Horner,110,False
1995,1996,68,10,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey",110,True
1995,1996,68,18,"Andy Nelson, Scott Millan, Anna Behlmer",110,False
1995,1996,68,19,Lon Bender,110,True
1995,1996,68,3,Randall Wallace,110,False
1976,1977,49,4,Robert De Niro,111,False
1976,1977,49,5,Jodie Foster,111,False
1976,1977,49,20,Bernard Herrmann,111,False
1976,1977,49,10,Michael Phillips and Julia Phillips,111,False
1995,1996,68,21,Jon Blair,116,True
1996,1997,69,2,Music and Lyric by Diane Warren,140,False
1995,1996,68,13,Ed Harris,150,False
1995,1996,68,5,Kathleen Quinlan,150,False
1995,1996,68,14,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,150,False
1995,1996,68,15,Mike Hill,150,True
1995,1996,68,6,James Horner,150,False
1995,1996,68,10,Brian Grazer,150,False
1995,1996,68,18,"Rick Dior, Steve Pederson, Scott Millan",150,True
1995,1996,68,16,"Robert Legato, Michael Kanfer, Leslie Ekker",150,False
1995,1996,68,11,"William Broyles, Jr.",150,False
1995,1996,68,13,Tim Roth,151,False
1995,1996,68,8,Stephen Goldblatt,153,False
1995,1996,68,18,"Donald O. Mitchell, Frank A. Montaño, Michael Herbick",153,False
1995,1996,68,19,John Leveque,153,False
1995,1996,68,15,Chris Lebenzon,161,False
1995,1996,68,18,"Kevin O'Connell, Rick Kline, Gregory H. Watkins",161,False
1995,1996,68,19,George Watters II,161,False
1995,1996,68,1,Thomas Newman,205,False
1995,1996,68,18,"Steve Maslow, Gregg Landaker",208,False
1995,1996,68,2,Music and Lyric by Michael Kamen,224,False
1994,1995,67,13,Martin Landau,235,True
1994,1995,67,17,"Rick Baker, Ve Neill",235,True
1994,1995,67,15,"Frederick Marx, Steve James",246,False
1994,1995,67,3,Frances Walsh,247,False
1994,1995,67,2,"Music and Lyric by Carole Bayer Sager, James Newton Howard",256,False
1994,1995,67,7,Winona Ryder,7054,False
1994,1995,67,9,Colleen Atwood,7054,False
1994,1995,67,20,Thomas Newman,7054,False
1994,1995,67,14,Art Direction:  Lilly Kilvert;  Set Decoration:  Dorree Cooper,266,False
1994,1995,67,8,John Toll,266,True
1994,1995,67,18,"Paul Massey, David Campbell, Christopher David",266,False
1994,1995,67,4,Paul Newman,281,False
1994,1995,67,11,Robert Benton,281,False
1994,1995,67,7,Jodie Foster,282,False
1994,1995,67,4,John Travolta,296,False
1994,1995,67,13,Samuel L. Jackson,296,False
1994,1995,67,5,Uma Thurman,296,False
1994,1995,67,12,Quentin Tarantino,296,False
1994,1995,67,15,Sally Menke,296,False
1994,1995,67,10,Lawrence Bender,296,False
1994,1995,67,3,Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary,296,True
1994,1995,67,13,Paul Scofield,300,False
1994,1995,67,12,Robert Redford,300,False
1994,1995,67,10,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik",300,False
1994,1995,67,11,Paul Attanasio,300,False
1995,1996,68,17,"Greg Cannom, Bob Laden",304,False
1994,1995,67,7,Miranda Richardson,331,False
1994,1995,67,5,Rosemary Harris,331,False
1993,1994,66,13,Leonardo DiCaprio,337,False
1994,1995,67,18,"Donald O. Mitchell, Michael Herbick, Frank A. Montaño",349,False
1994,1995,67,19,Bruce Stambler,349,False
1994,1995,67,4,Tom Hanks,356,True
1994,1995,67,13,Gary Sinise,356,False
1994,1995,67,14,Art Direction:  Rick Carter;  Set Decoration:  Nancy Haigh,356,False
1994,1995,67,8,Don Burgess,356,False
1994,1995,67,12,Robert Zemeckis,356,True
1994,1995,67,15,Arthur Schmidt,356,True
1994,1995,67,17,"Daniel C. Striepeke, Hallie D'Amore",356,False
1994,1995,67,20,Alan Silvestri,356,False
1994,1995,67,10,"Wendy Finerman, Steve Tisch and Steve Starkey",356,True
1994,1995,67,18,"Randy Thom, Tom Johnson, Dennis Sands",356,False
1994,1995,67,19,Gloria S. Borders,356,False
1994,1995,67,16,"Ken Ralston, George Murphy, Stephen Rosenbaum",356,True
1994,1995,67,11,Eric Roth,356,True
1994,1995,67,10,Duncan Kenworthy,357,False
1994,1995,67,3,Richard Curtis,357,False
1994,1995,67,9,April Ferry,368,False
1994,1995,67,15,John Wright,377,False
1994,1995,67,18,"Gregg Landaker, Steve Maslow, Bob Beemer",377,True
1994,1995,67,19,Stephen Hunter Flick,377,True
1994,1995,67,16,"John Bruno, Thomas L. Fisher, Jacques Stroweis",380,False
1994,1995,67,8,Owen Roizman,383,False
1993,1994,66,14,Art Direction:  Ken Adam;  Set Decoration:  Marvin March,410,False
1994,1995,67,7,Jessica Lange,425,True
1993,1994,66,18,"Michael Minkler, Bob Beemer",434,False
1993,1994,66,19,Wylie Stateman,434,False
1993,1994,66,16,"Neil Krepela, John Richardson, John Bruno",434,False
1993,1994,66,3,Gary Ross,440,False
1993,1994,66,5,Rosie Perez,448,False
1993,1994,66,18,"Chris Carpenter, D. M. Hemphill, Bill W. Benton",458,False
1993,1994,66,13,John Malkovich,474,False
1993,1994,66,15,Anne V. Coates,474,False
1993,1994,66,3,Jeff Maguire,474,False
