year_film,year_ceremony,ceremony,category,nominee,film,winner
1994,1995,52,Best Performance by an Actress in a Supporting Role in any Motion Picture,Robin Wright,Forrest Gump,False
1994,1995,52,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gary Sinise,Forrest Gump,False
1994,1995,52,Best Director - Motion Picture,Robert Zemeckis,Forrest Gump,True
1994,1995,52,Best Screenplay - Motion Picture,Eric Roth,Forrest Gump,False
1994,1995,52,Best Original Score - Motion Picture,Alan Silvestri,Forrest Gump,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Andie MacDowell,Four Weddings and a Funeral,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Four Weddings and a Funeral,True
1994,1995,52,Best Screenplay - Motion Picture,Richard Curtis,Four Weddings and a Funeral,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Geena Davis,Speechless,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,True Lies,True
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anjelica Huston,Addams Family Values,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Blue Sky,True
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penelope Ann Miller,Carlito's Way,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sean Penn,Carlito's Way,False
1994,1995,52,Best Original Song - Motion Picture,"The Color of the Night, Lauren Christy, Jud J. Friedman, Dominic Frontiere",Color of Night,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Dave,False
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rosie Perez,Fearless,False
1994,1995,52,Best Original Song - Motion Picture,"I'll Remember, Madonna, Patrick Leonard, Richard Page",With Honors,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Malkovich,In the Line of Fire,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,In the Name of the Father,False
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emma Thompson,In the Name of the Father,False
1993,1994,51,Best Original Song - Motion Picture,"(You Made Me the) Thief of Your Heart, Bono, Gavin Friday, Maurice Seezer",In the Name of the Father,False
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Manhattan Murder Mystery,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Mrs. Doubtfire,True
1993,1994,51,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Philadelphia,True
1993,1994,51,Best Screenplay - Motion Picture,Ron Nyswaner,Philadelphia,False
1993,1994,51,Best Original Song - Motion Picture,"Streets of Philadelphia, Bruce Springsteen",Philadelphia,True
1993,1994,51,Best Original Song - Motion Picture,"Again, Janet Jackson, Jimmy Jam, Terry Lewis",Poetic Justice,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Drama,Liam Neeson,Schindler's List,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ralph Fiennes,Schindler's List,False
1993,1994,51,Best Director - Motion Picture,Steven Spielberg,Schindler's List,True
1993,1994,51,Best Screenplay - Motion Picture,Steven Zaillian,Schindler's List,True
1993,1994,51,Best Original Score - Motion Picture,John Williams,Schindler's List,False
1993,1994,51,Best Screenplay - Motion Picture,Robert Altman,Short Cuts,False
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Stockard Channing,Six Degrees of Separation,False
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,Sleepless in Seattle,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Sleepless in Seattle,False
1982,1983,40,Best Original Score - Motion Picture,Vangelis Papathanassiou,Blade Runner,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Macaulay Culkin,Home Alone,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Demi Moore,Ghost,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Patrick Swayze,Ghost,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Whoopi Goldberg,Ghost,True
1992,1993,50,Best Original Score - Motion Picture,Alan Menken,Aladdin,True
1992,1993,50,Best Original Song - Motion Picture,"A Whole New World, Alan Menken, Tim Rice",Aladdin,True
1992,1993,50,Best Original Song - Motion Picture,"Friend Like Me, Alan Menken, Tim Rice",Aladdin,False
1992,1993,50,Best Original Song - Motion Picture,"Prince Ali, Alan Menken, Tim Rice",Aladdin,False
1992,1993,50,Special Achievement Award,Robin Williams,Aladdin,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Kevin Costner,Dances with Wolves,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary McDonnell,Dances with Wolves,False
1990,1991,48,Best Director - Motion Picture,Kevin Costner,Dances with Wolves,True
1990,1991,48,Best Screenplay - Motion Picture,Michael Blake,Dances with Wolves,True
1990,1991,48,Best Original Score - Motion Picture,John Barry,Dances with Wolves,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,Batman,False
1991,1992,49,Best Original Score - Motion Picture,Alan Menken,Beauty and the Beast,True
1991,1992,49,Best Original Song - Motion Picture,"Beauty and the Beast, Alan Menken, Howard Ashman",Beauty and the Beast,True
1991,1992,49,Best Original Song - Motion Picture,"Be Our Guest, Alan Menken, Howard Ashman",Beauty and the Beast,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Pretty Woman,True
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Gere,Pretty Woman,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hector Elizondo,Pretty Woman,False
1996,1997,54,Best Original Song - Motion Picture,"""For the First Time"", James Newton Howard, Jud J. Friedman, Allan Dennis Rich",One Fine Day,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Frances McDormand,Fargo,False
1996,1997,54,Best Director - Motion Picture,Joel Coen,Fargo,False
1996,1997,54,Best Screenplay - Motion Picture,Ethan Coen,Fargo,False
1996,1997,54,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edward Norton,Primal Fear,True
1988,1989,46,Best Original Song - Motion Picture,"Why Should I Worry?, Dan Hartman, Charlie Midnight",Oliver & Company,False
1996,1997,54,Best Screenplay - Motion Picture,John Sayles,Lone Star,False
1996,1997,54,Best Performance by an Actor in a Motion Picture - Drama,Mel Gibson,Ransom,False
1996,1997,54,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Costner,Tin Cup,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain,True
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,Breakfast at Tiffany's,False
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,Some Like It Hot,True
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Some Like It Hot,True
1963,1964,21,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Charade,False
1963,1964,21,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,Charade,False
1964,1965,22,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,My Fair Lady,True
1964,1965,22,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stanley Holloway,My Fair Lady,False
1964,1965,22,Best Director - Motion Picture,George Cukor,My Fair Lady,True
1964,1965,22,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,My Fair Lady,False
1954,1955,12,Best Screenplay - Motion Picture,Ernest Lehman,Sabrina,True
1953,1954,11,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,Roman Holiday,True
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter O'Toole,My Favorite Year,False
1982,1983,40,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lainie Kazan,My Favorite Year,False
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,All About Eve,False
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Sanders,All About Eve,False
1950,1951,8,Best Director - Motion Picture,Joseph L. Mankiewicz,All About Eve,False
1950,1951,8,Best Screenplay - Motion Picture,Joseph L. Mankiewicz,All About Eve,True
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,Love in the Afternoon,False
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,Love in the Afternoon,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,Gigi,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Louis Jourdan,Gigi,False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hermione Gingold,Gigi,True
1958,1959,16,Best Director - Motion Picture,Vincente Minnelli,Gigi,True
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Leslie Caron,Gigi,False
1956,1957,14,Best Director - Motion Picture,George Stevens,Giant,False
1956,1957,14,New Star Of The Year - Actress,Carroll Baker,Giant,True
1956,1957,14,New Star Of The Year - Actress,Jayne Mansfield,Giant,False
1955,1956,13,Special Achievement Award,James Dean,East of Eden,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Around the World in 80 Days,True
1956,1957,14,Best Director - Motion Picture,Michael Anderson,Around the World in 80 Days,False
1958,1959,16,Best Director - Motion Picture,Richard Brooks,Cat on a Hot Tin Roof,False
1955,1956,13,Best Director - Motion Picture,Joshua Logan,Picnic,True
1996,1997,54,Best Performance by an Actor in a Motion Picture - Drama,Liam Neeson,Michael Collins,False
1996,1997,54,Best Original Score - Motion Picture,Elliot Goldenthal,Michael Collins,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hayes,Herbie Rides Again,False
1960,1961,18,New Star Of The Year - Actress,Hayley Mills,Pollyanna,True
1991,1992,49,Best Original Score - Motion Picture,Michael Kamen,Robin Hood: Prince of Thieves,False
1991,1992,49,Best Original Song - Motion Picture,"(Everything I Do) I Do It For You, Michael Kamen, Bryan Adams, Robert John Lange",Robin Hood: Prince of Thieves,False
1964,1965,22,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dick Van Dyke,Mary Poppins,False
1964,1965,22,Best Original Score - Motion Picture,Richard M. Sherman,Mary Poppins,False
1964,1965,22,Actress In A Leading Role - Musical Or Comedy,Julie Andrews,Mary Poppins,True
1977,1978,35,Best Original Score - Motion Picture,Joel Hirschhorn,Pete's Dragon,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Angela Lansbury,Bedknobs and Broomsticks,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Drama,Brenda Blethyn,Secrets & Lies,True
1996,1997,54,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marianne Jean-Baptiste,Secrets & Lies,False
1996,1997,54,Best Original Song - Motion Picture,"""That Thing You Do!"", Adam Schlesinger",That Thing You Do!,False
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Bonnie and Clyde,False
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Bonnie and Clyde,False
1967,1968,25,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael J. Pollard,Bonnie and Clyde,False
1967,1968,25,Best Director - Motion Picture,Arthur Penn,Bonnie and Clyde,False
1967,1968,25,Best Screenplay - Motion Picture,Robert Benton,Bonnie and Clyde,False
1967,1968,25,New Star Of The Year - Actor,Michael J. Pollard,Bonnie and Clyde,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Grey,Dirty Dancing,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Patrick Swayze,Dirty Dancing,False
1987,1988,45,Best Original Song - Motion Picture,"(I've Had) The Time of My Life, Franke Previte, Donald Markowitz, John DeNicola",Dirty Dancing,True
1986,1987,44,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Berenger,Platoon,True
1986,1987,44,Best Director - Motion Picture,Oliver Stone,Platoon,True
1986,1987,44,Best Screenplay - Motion Picture,Oliver Stone,Platoon,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Drama,Sharon Stone,Basic Instinct,False
1992,1993,50,Best Original Score - Motion Picture,Jerry Goldsmith,Basic Instinct,False
1992,1993,50,Best Performance by an Actor in a Supporting Role in any Motion Picture,Al Pacino,Glengarry Glen Ross,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Sophie's Choice,True
1982,1983,40,New Star Of The Year - Actor,Kevin Kline,Sophie's Choice,False
1986,1987,44,Best Original Score - Motion Picture,Harold Faltermeyer,Top Gun,False
1986,1987,44,Best Original Song - Motion Picture,"Take My Breath Away, Giorgio Moroder, Tom Whitlock",Top Gun,True
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,On Golden Pond,False
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Henry Fonda,On Golden Pond,True
1981,1982,39,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jane Fonda,On Golden Pond,False
1981,1982,39,Best Director - Motion Picture,Mark Rydell,On Golden Pond,False
1981,1982,39,Best Screenplay - Motion Picture,Ernest Thompson,On Golden Pond,True
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Private Benjamin,False
1992,1993,50,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tim Robbins,Bob Roberts,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Miranda Richardson,Enchanted April,True
1992,1993,50,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Plowright,Enchanted April,True
1991,1992,49,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ned Beatty,Hear My Song,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,My Left Foot,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Fricker,My Left Foot,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Drama,Mary McDonnell,Passion Fish,False
1992,1993,50,Best Performance by an Actress in a Supporting Role in any Motion Picture,Alfre Woodard,Passion Fish,False
1980,1981,38,Best Original Score - Motion Picture,John Williams,Star Wars: Episode V - The Empire Strikes Back,False
1986,1987,44,Best Performance by an Actress in a Motion Picture - Drama,Sigourney Weaver,Aliens,False
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,Apocalypse Now,True
1979,1980,37,Best Director - Motion Picture,Francis Ford Coppola,Apocalypse Now,True
1979,1980,37,Best Original Score - Motion Picture,Carmine Coppola,Apocalypse Now,True
1979,1980,37,Best Original Score - Motion Picture,Jerry Goldsmith,Alien,False
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho,True
1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,R. Lee Ermey,Full Metal Jacket,False
1984,1985,42,Best Performance by an Actor in a Motion Picture - Drama,F. Murray Abraham,Amadeus,True
1984,1985,42,Best Performance by an Actor in a Motion Picture - Drama,Tom Hulce,Amadeus,False
1984,1985,42,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeffrey Jones,Amadeus,False
1984,1985,42,Best Director - Motion Picture,Milos Forman,Amadeus,True
1984,1985,42,Best Screenplay - Motion Picture,Peter Shaffer,Amadeus,True
1984,1985,42,Best Director - Motion Picture,Sergio Leone,Once Upon a Time in America,False
1984,1985,42,Best Original Score - Motion Picture,Ennio Morricone,Once Upon a Time in America,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Raging Bull,True
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cathy Moriarty,Raging Bull,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,Raging Bull,False
1980,1981,38,Best Director - Motion Picture,Martin Scorsese,Raging Bull,False
1980,1981,38,Best Screenplay - Motion Picture,Mardik Martin,Raging Bull,False
1980,1981,38,New Star Of The Year - Actress,Cathy Moriarty,Raging Bull,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Annie Hall,True
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Woody Allen,Annie Hall,False
1977,1978,35,Best Director - Motion Picture,Woody Allen,Annie Hall,False
1977,1978,35,Best Screenplay - Motion Picture,Woody Allen,Annie Hall,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bud Cort,Harold and Maude,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Ruth Gordon,Harold and Maude,False
1989,1990,47,Best Performance by an Actor in a Supporting Role in any Motion Picture,Denzel Washington,Glory,True
1989,1990,47,Best Director - Motion Picture,Edward Zwick,Glory,False
1989,1990,47,Best Screenplay - Motion Picture,Kevin Jarre,Glory,False
1989,1990,47,Best Original Score - Motion Picture,James Horner,Glory,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Robin Williams,Dead Poets Society,False
1989,1990,47,Best Director - Motion Picture,Peter Weir,Dead Poets Society,False
1989,1990,47,Best Screenplay - Motion Picture,Tom Schulman,Dead Poets Society,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Chinatown,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Chinatown,True
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Huston,Chinatown,False
1974,1975,32,Best Director - Motion Picture,Roman Polanski,Chinatown,True
1974,1975,32,Best Screenplay - Motion Picture,Robert Towne,Chinatown,True
1974,1975,32,Best Original Score - Motion Picture,Jerry Goldsmith,Chinatown,False
1992,1993,50,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gene Hackman,Unforgiven,True
1992,1993,50,Best Director - Motion Picture,Clint Eastwood,Unforgiven,True
1992,1993,50,Best Screenplay - Motion Picture,David Webb Peoples,Unforgiven,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathy Bates,Fried Green Tomatoes,False
1991,1992,49,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jessica Tandy,Fried Green Tomatoes,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,George C. Scott,Patton,True
1970,1971,28,Best Director - Motion Picture,Franklin J. Schaffner,Patton,False
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Cool Hand Luke,False
1967,1968,25,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Kennedy,Cool Hand Luke,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cloris Leachman,Young Frankenstein,False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Madeline Kahn,Young Frankenstein,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon,True
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon,True
1952,1953,10,Best Screenplay - Motion Picture,Carl Foreman,High Noon,False
1952,1953,10,Best Original Score - Motion Picture,Dimitri Tiomkin,High Noon,True
1952,1953,10,New Star Of The Year - Actress,Katy Jurado,High Noon,False
1952,1953,10,Cinematography - Black And White,Floyd Crosby,High Noon,True
1980,1981,38,Best Original Score - Motion Picture,John Barry,Somewhere in Time,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,Ben-Hur,False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stephen Boyd,Ben-Hur,True
1959,1960,17,Best Director - Motion Picture,William Wyler,Ben-Hur,True
1959,1960,17,Special Achievement Award,Andrew Marton,Ben-Hur,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Being There,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Sellers,Being There,True
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Melvyn Douglas,Being There,True
1979,1980,37,Best Director - Motion Picture,Hal Ashby,Being There,False
1979,1980,37,Best Screenplay - Motion Picture,Robert C. Jones,Being There,False
1982,1983,40,Best Performance by an Actor in a Motion Picture - Drama,Ben Kingsley,Gandhi,True
1982,1983,40,Best Director - Motion Picture,Richard Attenborough,Gandhi,True
1982,1983,40,Best Screenplay - Motion Picture,John Briley,Gandhi,True
1982,1983,40,New Star Of The Year - Actor,Ben Kingsley,Gandhi,True
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Cape Fear,False
1991,1992,49,Best Performance by an Actress in a Supporting Role in any Motion Picture,Juliette Lewis,Cape Fear,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Piper Laurie,Carrie,False
1982,1983,40,Best Original Score - Motion Picture,Giorgio Moroder,Cat People,False
